X,Y
1270.269134,15262.22961
1344.810363,16156.72435
221.4988418,2676.986102
1509.043121,18127.51745
2245.235798,26961.82958
435.411503,5243.938036
1563.582677,18781.99213
750.9935318,9030.922382
790.6141796,9506.370155
1659.656424,19934.87709
818.8116904,9844.740285
1336.272124,16054.26549
689.2120002,8289.544002
1070.160869,12860.93043
1277.672279,15351.06735
-58.49374017,-682.9248821
832.501033,10009.0124
952.2842676,11446.41121
1055.103542,12680.24251
1640.446198,19704.35438
1282.248547,15405.98257
2147.766807,25792.20168
468.6805289,5643.166347
1392.613236,16730.35883
1305.336196,15683.03435
1453.820604,17464.84725
832.7318643,10011.78237
1209.606566,14534.27879
861.1738114,10353.08574
1043.50654,12541.07848
1812.375537,21767.50645
1282.925489,15414.10587
1359.346116,16331.1534
1029.294989,12370.53987
814.8258585,9796.910302
2431.012157,29191.14589
757.2040808,9105.44897
1790.890023,21509.68027
1567.414453,18827.97343
698.4449405,8400.339286
1420.017345,17059.20814
103.3614356,1259.337227
914.8789151,10997.54698
503.6342632,6062.611158
791.0834858,9512.00183
720.0105895,8659.127074
1579.929013,18978.14816
1203.428978,14460.14774
1272.29006,15286.48072
443.0631596,5335.757915
1007.360999,12107.33198
1226.75017,14740.00205
179.6241228,2174.489474
2520.453095,30264.43714
605.6507195,7286.808634
1575.070204,18919.84245
1601.234744,19233.81693
1250.200174,15021.40209
1170.339351,14063.07221
998.4732564,12000.67908
895.4737711,10764.68525
998.9867758,12006.84131
186.0565724,2251.678869
101.6212664,1238.455197
-93.44197755,-1102.303731
564.0202735,6787.243282
1275.126679,15320.52015
1633.46655,19620.5986
1295.724609,15567.69531
896.9015578,10781.81869
568.65261,6842.831321
882.0798857,10603.95863
499.7518258,6016.021909
902.0274516,10843.32942
933.0931525,11216.11783
395.9267521,4770.121025
966.7696208,11620.23545
1131.31574,13594.78888
1533.500996,18421.01195
468.5534244,5641.641093
577.9757871,6954.709445
1195.241717,14361.9006
67.8912787,833.6953444
351.2528983,4234.03478
805.0976368,9680.171642
1104.688662,13275.26395
582.5382114,7009.458537
595.9748187,7170.697825
374.6216892,4514.46027
1177.775397,14152.30476
896.1500433,10772.80052
1155.168823,13881.02587
1363.294073,16378.52888
331.2886774,3994.464128
1221.955607,14682.46728
